Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Label
2014/1/2,2014,1,2,Thursday,0,2014-00,40.36,40.37,39.66,39.66,2366400,34.89,0,34.89,34.89,
2014/1/3,2014,1,3,Friday,0,2014-00,39.72,39.85,39.42,39.6,2824400,34.84,-0.001513005,34.865,34.865,
2014/1/6,2014,1,6,Monday,1,Jan-14,39.71,39.87,39.54,39.69,2588600,34.92,0.002272673,34.88333333,34.88333333,
2014/1/7,2014,1,7,Tuesday,1,Jan-14,39.7,40.08,39.67,40.01,2567800,35.2,0.008062497,34.9625,34.9625,
2014/1/8,2014,1,8,Wednesday,1,Jan-14,39.89,39.97,39.59,39.8,2204400,35.02,-0.005248598,34.974,34.974,
2014/1/9,2014,1,9,Thursday,1,Jan-14,40.07,40.16,39.78,40.07,1884200,35.25,0.006783756,35.02,35.02,
2014/1/10,2014,1,10,Friday,1,Jan-14,40.24,41.01,40.03,40.53,2538600,35.66,0.011479936,35.11142857,35.11142857,
2014/1/13,2014,1,13,Monday,2,Feb-14,40.93,40.93,40.19,40.29,2556900,35.45,-0.005921362,35.15375,35.15375,
2014/1/14,2014,1,14,Tuesday,2,Feb-14,40.28,40.55,40.13,40.3,1867300,35.45,0.000248063,35.18666667,35.18666667,
2014/1/15,2014,1,15,Wednesday,2,Feb-14,40.85,41.13,40.27,40.51,3696000,35.64,0.005211044,35.232,35.232,
2014/1/16,2014,1,16,Thursday,2,Feb-14,40.48,40.69,40.32,40.65,2340200,35.76,0.003455948,35.28,35.28,
2014/1/17,2014,1,17,Friday,2,Feb-14,40.67,40.79,40.4,40.67,2467800,35.78,0.000491839,35.32166667,35.32166667,
2014/1/21,2014,1,21,Tuesday,3,Mar-14,40.72,41.27,40.72,41.27,2970400,36.31,0.014752926,35.39769231,35.39769231,
2014/1/22,2014,1,22,Wednesday,3,Mar-14,41.25,41.38,40.94,41.14,2611700,36.19,-0.003150029,35.45428571,35.45428571,
2014/1/23,2014,1,23,Thursday,3,Mar-14,40.98,41.37,40.92,41.29,2981900,36.33,0.003646175,35.55714286,35.51266667,
2014/1/24,2014,1,24,Friday,3,Mar-14,41.11,41.36,40.81,40.82,3593400,35.91,-0.011382896,35.63357143,35.5375,
